p_ball,p_foul,p_pitchout,p_total_strike
525,230,0,975
51,22,0,94
343,173,0,683
105,71,0,254
1100,550,0,2169
170,97,0,312
167,49,0,230
138,48,0,206
715,389,0,1460
865,411,0,1661
647,306,0,1273
60,29,0,102
123,63,0,273
286,176,0,572
195,122,0,427
512,248,0,934
141,41,0,182
951,498,0,1691
190,121,1,389
180,85,0,288
588,237,0,876
892,523,0,1861
45,25,0,83
330,207,0,780
886,448,0,1725
613,318,0,1139
512,313,0,997
88,28,0,122
39,15,0,59
164,71,0,255
397,194,0,743
385,198,0,737
986,443,0,1635
102,41,0,158
144,95,1,324
690,326,0,1326
453,214,0,851
54,38,0,113
336,124,0,551
388,251,0,814
84,43,1,162
970,586,0,2113
259,106,0,455
555,254,0,913
382,207,1,705
187,107,0,323
711,348,0,1324
563,290,1,990
149,72,0,282
279,154,0,535
288,214,0,622
190,106,0,313
193,83,0,337
152,67,0,229
54,14,0,111
598,301,0,1213
56,27,0,124
138,48,0,201
38,16,0,60
234,152,0,438
780,421,0,1372
105,51,0,184
501,245,0,919
120,40,0,197
56,31,0,88
246,114,0,410
761,422,0,1444
103,41,0,207
226,104,0,415
594,294,0,1105
143,46,0,225
75,56,0,178
765,428,1,1466
234,118,0,479
78,49,0,145
55,18,0,79
269,191,0,583
195,95,0,341
229,120,1,389
910,522,0,1796
353,159,0,631
300,225,1,753
60,26,0,77
294,177,0,642
800,517,0,1804
48,31,0,102
1063,501,0,1801
123,60,0,193
108,38,0,181
308,152,0,557
108,55,0,199
299,179,0,679
784,433,0,1748
413,241,0,849
392,172,0,701
234,156,0,558
282,214,0,618
913,481,0,1682
73,31,0,116
212,133,0,466
241,144,0,526
259,146,0,448
248,99,0,413
43,8,0,58
142,63,0,211
182,70,0,299
40,18,0,65
996,510,0,2032
456,182,0,939
335,134,0,592
250,133,0,491
136,68,0,271
143,74,0,253
306,167,0,609
348,146,0,605
239,129,0,415
206,93,0,346
315,193,0,644
153,83,0,295
354,214,0,703
142,86,0,256
167,85,0,274
351,215,0,679
1056,611,0,2254
326,144,0,629
252,142,0,540
633,372,0,1287
263,155,0,578
123,66,0,227
660,344,0,1192
230,140,0,442
360,147,0,615
63,17,0,85
256,98,1,443
708,349,0,1233
308,200,0,643
420,253,1,820
185,101,0,360
96,51,0,179
65,33,0,126
923,550,0,1833
211,84,0,340
96,76,0,183
187,75,0,283
1037,696,1,2222
488,272,0,859
326,193,0,638
178,92,0,324
327,177,1,554
186,90,1,319
87,25,0,105
105,41,0,160
996,458,2,1687
1106,571,0,1881
289,161,0,519
344,143,0,566
246,145,0,460
1098,583,0,2211
390,209,0,688
108,52,0,173
137,92,0,280
65,24,0,90
655,377,0,1326
315,168,0,660
105,49,0,186
308,186,0,736
37,28,0,74
371,237,0,770
1063,575,0,1844
259,132,0,456
236,146,0,575
306,186,0,542
48,9,0,63
60,25,0,98
528,258,0,950
428,159,0,704
1005,553,2,1914
1113,589,0,2172
291,157,0,529
900,522,0,1904
379,190,0,645
287,183,0,581
269,163,0,606
323,138,0,601
61,17,0,104
130,69,0,223
287,148,0,546
355,199,0,645
797,506,0,1794
1009,519,2,1898
984,486,0,1851
271,100,0,458
309,221,0,741
413,212,0,694
37,20,0,68
506,298,0,891
467,288,0,950
552,308,0,1092
48,26,0,83
351,275,0,820
115,70,0,234
304,196,0,599
94,41,0,169
333,159,0,573
362,148,1,632
171,76,0,265
282,188,0,527
339,201,0,653
379,143,0,630
117,80,0,212
270,162,0,568
267,161,1,578
58,31,0,118
342,171,0,643
1070,532,0,2058
328,173,0,611
186,118,0,449
326,143,0,531
206,136,0,424
413,199,0,685
466,220,0,823
506,239,0,821
394,217,0,794
302,134,0,582
263,136,0,502
138,51,0,198
231,133,0,516
116,32,0,145
378,183,1,699
258,122,0,431
806,494,0,1548
372,146,0,609
159,66,0,237
766,428,0,1516
212,74,0,320
426,219,0,802
1012,684,0,2361
906,361,0,1522
359,202,1,644
201,76,0,310
847,507,0,1875
158,95,0,385
72,44,0,161
443,244,0,950
348,175,0,584
163,85,0,310
308,155,0,677
85,43,0,146
584,317,0,1213
799,378,0,1352
71,25,0,106
41,28,0,98
269,128,0,445
1053,611,1,1921
207,118,0,380
172,73,0,267
609,348,0,1118
665,379,0,1248
550,267,0,1017
49,20,0,79
227,90,0,404
159,61,0,245
420,220,0,802
134,66,0,275
51,27,0,86
179,88,0,333
75,38,0,131
74,43,0,122
141,84,0,269
40,23,0,70
344,164,0,612
356,161,0,681
181,111,0,316
58,26,0,127
134,74,0,239
241,119,0,421
826,491,0,1634
899,486,1,1743
156,95,0,307
327,212,1,712
