Game Date,Opp_x,Result,Starting Pitcher,Opposing Pitcher,Opp_y,Hm/Aw
2018-07-03,TEX,1,Dallas Keuchel,Austin Bibens-Dirkx,TEX,Away
2018-07-04,TEX,1,Gerrit Cole,Mike Minor,TEX,Away
2018-07-05,CHA,1,Justin Verlander,Carlos Rodon,CHA,Home
2018-07-06,CHA,1,Lance McCullers,Reynaldo Lopez,CHA,Home
2018-07-07,CHA,1,Charlie Morton,James Shields,CHA,Home
2018-07-08,CHA,1,Dallas Keuchel,Lucas Giolito,CHA,Home
2018-07-09,OAK,0,Gerrit Cole,Frankie Montas,OAK,Home
2018-07-10,OAK,1,Justin Verlander,Sean Manaea,OAK,Home
2018-07-11,OAK,0,Lance McCullers,Chris Bassitt,OAK,Home
2018-07-12,OAK,0,Charlie Morton,Trevor Cahill,OAK,Home
2018-07-13,DET,1,Dallas Keuchel,Michael Fiers,DET,Home
2018-07-14,DET,1,Gerrit Cole,Michael Fulmer,DET,Home
2018-07-15,DET,0,Justin Verlander,Francisco Liriano,DET,Home
2018-07-20,ANA,1,Dallas Keuchel,Tyler Skaggs,ANA,Away
2018-07-21,ANA,1,Justin Verlander,Nick Tropeano,ANA,Away
2018-07-22,ANA,0,Lance McCullers,Andrew Heaney,ANA,Away
2018-07-24,COL,1,Gerrit Cole,Tyler Anderson,COL,Away
2018-07-25,COL,0,Charlie Morton,Jon Gray,COL,Away
2018-07-27,TEX,0,Dallas Keuchel,Yovani Gallardo,TEX,Home
2018-07-28,TEX,0,Justin Verlander,Ariel Jurado,TEX,Home
2018-07-29,TEX,0,Lance McCullers,Mike Minor,TEX,Home
2018-07-30,SEA,0,Gerrit Cole,James Paxton,SEA,Away
2018-07-31,SEA,1,Charlie Morton,Mike Leake,SEA,Away
2018-08-01,SEA,1,Dallas Keuchel,Wade LeBlanc,SEA,Away
2018-08-03,LAN,1,Justin Verlander,Alex Wood,LAN,Away
2018-08-04,LAN,1,Lance McCullers,Kenta Maeda,LAN,Away
2018-08-05,LAN,0,Gerrit Cole,Walker Buehler,LAN,Away
2018-08-06,SFN,1,Charlie Morton,Dereck Rodriguez,SFN,Away
2018-08-07,SFN,1,Dallas Keuchel,Madison Bumgarner,SFN,Away
2018-08-09,SEA,0,Justin Verlander,James Paxton,SEA,Home
2018-08-10,SEA,0,Gerrit Cole,Mike Leake,SEA,Home
2018-08-11,SEA,0,Charlie Morton,Wade LeBlanc,SEA,Home
2018-08-12,SEA,0,Dallas Keuchel,Erasmo Ramirez,SEA,Home
2018-08-14,COL,0,Justin Verlander,German Marquez,COL,Home
2018-08-15,COL,1,Gerrit Cole,Tyler Anderson,COL,Home
2018-08-17,OAK,0,Charlie Morton,Edwin Jackson,OAK,Away
2018-08-18,OAK,0,Dallas Keuchel,Trevor Cahill,OAK,Away
