Team,Age,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,SH,SF,HBP,AVG,OBP,SLG,OPS
KCA,29.86956522,66.95652174,238.4347826,27.69565217,58.56521739,12.26086957,1.260869565,6.739130435,26.30434783,5.086956522,1.652173913,18.56521739,56.43478261,1,1.739130435,2.913043478,0.233043478,0.290434783,0.366086957,0.656521739
ANA,31.40740741,60.62962963,201.8518519,26.66666667,48.96296296,9.222222222,0.851851852,7.925925926,25.55555556,3.296296296,0.814814815,19.03703704,47.81481481,0.259259259,1.444444444,2.703703704,0.236222222,0.303851852,0.399074074,0.702925926
LAN,30.5,82.27272727,240.0454545,36.09090909,61.59090909,13.27272727,1.5,10.68181818,33.63636364,3.318181818,1.090909091,28.90909091,59.68181818,0.363636364,1.772727273,2.772727273,0.236590909,0.3215,0.393272727,0.714772727
MIA,29.34782609,74.86956522,227.826087,25.2173913,55.56521739,9.52173913,1.043478261,5.565217391,23.7826087,1.956521739,1.347826087,19.17391304,53.91304348,0.52173913,1.347826087,3.130434783,0.224956522,0.292956522,0.326478261,0.619434783
MIL,30.76,71.12,211.28,29.44,54.44,9.8,0.96,8.64,28,4.96,1.28,21.04,54.16,0.24,1.64,2.28,0.2196,0.29456,0.37208,0.66664
MIN,30.875,67.75,229.4166667,30.66666667,57.375,13.20833333,0.916666667,6.916666667,29.33333333,1.958333333,1.125,22.25,54.91666667,0.708333333,1.583333333,1.541666667,0.232583333,0.299916667,0.368666667,0.668583333
NYN,31,61.85185185,191.4074074,24.59259259,45.92592593,9.592592593,1.259259259,6.222222222,23.37037037,2.62962963,1.444444444,20.59259259,47.22222222,0.333333333,1.444444444,2.666666667,0.197222222,0.286851852,0.312703704,0.599555556
NYA,29.26086957,69.52173913,238.8695652,36.91304348,59.73913043,11.69565217,1,11.60869565,35.69565217,2.739130435,0.913043478,27.13043478,61.26086957,0.434782609,2.565217391,2.695652174,0.237521739,0.311,0.404,0.715
OAK,29.6,83.2,277.9,40.6,70.2,16.1,1,11.35,38.85,1.75,1.05,27.5,68.75,0.3,2.2,3.8,0.2291,0.29325,0.3914,0.68465
PHI,29.57142857,81.76190476,245.6190476,31.71428571,59.14285714,11.33333333,1.380952381,8.761904762,30.61904762,3.285714286,1.238095238,27.33333333,65.52380952,0.285714286,1.523809524,3.047619048,0.226285714,0.305857143,0.391571429,0.697428571
PIT,29.79166667,68.66666667,215.0833333,28.375,56.45833333,11.83333333,1.583333333,6.541666667,27.375,2.916666667,1.583333333,19.54166667,46.5,0.291666667,2.166666667,2.416666667,0.254833333,0.309375,0.387333333,0.696708333
SDN,29,87.63157895,274.4736842,31.84210526,66.52631579,13.05263158,1.578947368,8.473684211,30.05263158,4.947368421,1.894736842,24,72.52631579,0.736842105,1.684210526,1.578947368,0.227,0.295947368,0.370210526,0.666157895
SEA,32.26086957,72.95652174,238.826087,29.43478261,60.82608696,11.13043478,1.391304348,7.652173913,27.95652174,3.434782609,1.608695652,18.69565217,52.60869565,1.173913043,1.782608696,3.043478261,0.245043478,0.308391304,0.364304348,0.672695652
SFN,30.7826087,73.82608696,228.6521739,25.95652174,56.47826087,10.86956522,1.304347826,5.782608696,24.47826087,3.347826087,1.47826087,19.2173913,57.04347826,0.391304348,1.739130435,2.130434783,0.249173913,0.300565217,0.394782609,0.695347826
SLN,29.57142857,82.14285714,248.1904762,35.28571429,63.19047619,11.61904762,0.380952381,9.476190476,33.42857143,3,1.523809524,24.66666667,60.04761905,0.666666667,2.19047619,3.80952381,0.215857143,0.297047619,0.356714286,0.653761905
TBA,29.03703704,61.40740741,202.037037,26.48148148,52.2962963,10.14814815,1.592592593,5.555555556,24.51851852,4.740740741,1.888888889,19.96296296,50.88888889,1.037037037,1.851851852,3.703703704,0.239555556,0.309925926,0.385259259,0.695185185
TEX,28.8,81.7,271.8,36.85,65.35,13.25,1.2,9.7,34.8,3.7,1.75,27.75,73.7,1.55,1.7,4.4,0.22145,0.2863,0.3548,0.6411
TOR,29.60714286,60.14285714,194.7857143,25.25,47.53571429,11.39285714,0.571428571,7.75,24.28571429,1.678571429,1.071428571,17.78571429,49.03571429,0.178571429,1.321428571,2.071428571,0.2255,0.305678571,0.377678571,0.683357143
WAS,30.08695652,74.56521739,226.6521739,32.65217391,59.04347826,12.04347826,1.043478261,8.260869565,31.26086957,5.130434783,1.434782609,27.17391304,51.34782609,0.565217391,1.739130435,2.434782609,0.227217391,0.300826087,0.361434783,0.66226087
