Team,Age,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,SH,SF,HBP,AVG,OBP,SLG,OPS
ARI,31.59090909,76.09090909,235.1363636,30.90909091,56.68181818,11.45454545,2.272727273,8,29.22727273,3.454545455,1.136363636,24.77272727,60.27272727,0.454545455,1.954545455,2.363636364,0.216318182,0.281545455,0.358863636,0.640409091
ATL,30.75,69.20833333,220.7916667,31.08333333,58.75,12.875,1.208333333,7.25,29.375,3.75,1.5,20.95833333,47.29166667,0.541666667,1.75,2.75,0.208625,0.2775,0.335125,0.612625
BAL,29.78571429,59.35714286,195.9285714,22.10714286,46.96428571,8.642857143,0.535714286,6.714285714,21.17857143,2.892857143,0.785714286,15.03571429,50.14285714,0.428571429,1.25,2.035714286,0.220678571,0.282357143,0.350892857,0.63325
BOS,31.4,82.35,280.2,43.6,75.25,17.65,1.55,10.4,41.3,6.25,1.55,28.4,62.15,0.35,2.4,2.75,0.23795,0.3077,0.3875,0.6952
CHN,29.95,86.45,266.5,37.4,71.2,14.2,1.7,8.25,35.35,3.3,1.9,28.4,62.5,0.65,2.3,3.9,0.251,0.30885,0.3663,0.67515
CIN,29.6,67.6,209,27.28,54.92,9.88,1,6.68,25.84,3.08,1.32,21.88,49.28,0.84,1.4,2.6,0.22144,0.28596,0.36984,0.6558
CLE,31.43478261,75.7826087,242.2608696,35.52173913,62.82608696,12.86956522,0.826086957,9.391304348,34.13043478,5.869565217,1.565217391,24.04347826,51.04347826,1,1.913043478,3.47826087,0.24273913,0.327,0.395869565,0.722869565
COL,30.45,84.3,262.4,37.95,68.9,13.75,2.1,10.45,36.65,4.75,1.65,24.85,62.55,0.55,1.85,2.5,0.23525,0.3074,0.39885,0.70625
CHA,29.13636364,74.36363636,250.1363636,29.81818182,60.5,11.77272727,1.818181818,8.272727273,29.04545455,4.454545455,1.863636364,19.31818182,71.86363636,1.045454545,1.454545455,3,0.244909091,0.302409091,0.386409091,0.688818182
DET,29.81818182,73.59090909,248.9545455,28.63636364,60.27272727,12.90909091,1.590909091,6.136363636,27.13636364,3.181818182,1.363636364,19.45454545,60.45454545,0.590909091,1.818181818,2.363636364,0.225090909,0.285409091,0.338045455,0.623454545
HOU,29.7,83.85,271.4,39.85,69.4,13.9,0.9,10.25,38.15,3.55,1.3,28.25,58.9,0.7,2.25,3.05,0.22755,0.2937,0.38725,0.68095
